Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.003460878,16.57,16.51117077,0.058829225,0.014596292,,,,
XGB,Training,1.54838E-05,4.7,4.696065059,0.003934941,-0.01909519,,,,
XGB,Training,0.005082805,10.145,10.2162938,-0.071293795,-0.065266985,,,,
XGB,Training,0.000195809,30,29.98600682,0.013993179,-0.012921925,,,,
XGB,Training,0.000147416,16,15.98785851,0.012141494,-0.014058401,,,,
XGB,Training,0.001394422,17.849,17.88634196,-0.03734196,-0.044428975,,,,
XGB,Training,0.033431807,13.692,13.87484367,-0.182843668,-0.133730953,,,,
XGB,Training,0.002757522,28.438,28.38548788,0.052512117,0.010719154,,,,
XGB,Training,0.06302863,10,9.748944967,0.251055033,0.132575285,,,,
XGB,Training,0.001677506,6.1,6.059042633,0.040957367,0.003627402,,,,
XGB,Training,0.000268643,20,20.01639034,-0.016390337,-0.031569872,,,,
XGB,Training,0.000614116,7.864,7.888781361,-0.024781361,-0.036719881,,,,
XGB,Training,0.000384262,17.8,17.7803974,0.019602597,-0.009479133,,,,
XGB,Training,0.004825388,7.325,7.394465012,-0.069465012,-0.064144565,,,,
XGB,Training,0.40374556,11.27,10.63459024,0.635409758,0.368473804,,,,
XGB,Training,0.036856292,11.968,11.77602007,0.191979927,0.096317815,,,,
XGB,Training,8.34921E-05,1.9,1.909137402,-0.009137402,-0.027118368,,,,
XGB,Training,0.023150126,28,27.84784834,0.152151656,0.07187313,,,,
XGB,Training,0.623867183,31.5,32.28985263,-0.789852634,-0.50628398,,,,
XGB,Training,0.00363585,1.7,1.760298008,-0.060298008,-0.058518298,,,,
XGB,Training,6.57359E-07,4.8,4.799189223,0.000810777,-0.021012652,,,,
XGB,Training,0.000203337,9.11,9.124259632,-0.014259632,-0.030262148,,,,
XGB,Training,8.04938E-05,24.9,24.90897183,-0.008971834,-0.02701675,,,,
XGB,Training,0.000235883,16.124,16.1393585,-0.015358495,-0.030936577,,,,
